Tweet_ID,Tweet,Created,Retweets,Likes
1189902255543214080,"Halloween Toy DIY Plastic Swords Party Supplies Sword Random Color Small Phoenix Knife Toy Pirates Dagger for Kids 
https://t.co/2eZqo1EVBA
 #toys4sale #toysofinstagram #toysnapshot https://t.co/xtTy13UJ1q",2019-10-31 13:49:39,0,0
1189902249964851200,Recently completed custom piece heading to its new owner. Antiqued Osage Hudson Bay Camp Knife and High ride custom left hand sheath. https://t.co/cdAtlCDXxK,2019-10-31 13:49:38,0,0
1189902216775294976,"RT @DroneMysterio: @PrisonPlanet I identify as a Man, I hike and weigh 200 lbs I also carry a Marine Corps issue K Bar knife with me just i…",2019-10-31 13:49:30,1,0
1189902206855733248,@BAB1BASTARD cherry chain knife twitter is losing it,2019-10-31 13:49:28,0,0
1189902295489662977,"RT @RoflGandhi_: I think the most suitable form of protest against pollution will be to stop breathing. Best of luck Goel saab, see you lat…",2019-10-31 13:49:49,37,0
1189902294868869123,RT @YOONlVRSE: the way jungkooks part was coming on so he was trying to stabilize his breathing and took deep breaths and wiped his tears w…,2019-10-31 13:49:49,12706,0
1189902289991061504,RT @cherrybabeyyy: Audios of soft moaning and heavy breathing and whimpering and whining and being able to slightly hear them touching them…,2019-10-31 13:49:47,245,0
1189902285914009603,RT @woodzsarang: Congrats X1 for making an entertainment company pressed by just breathing 👏 https://t.co/IqQnWl6gwJ,2019-10-31 13:49:46,33,0
1189902284966096896,"RT @moon_sunhae: We need destiny live ver it's honestly a requirement for me to keep breathing at this point 

#마마무_문자투표할_운명이었지",2019-10-31 13:49:46,15,0
1189902279991689216,"RT @RoflGandhi_: I think the most suitable form of protest against pollution will be to stop breathing. Best of luck Goel saab, see you lat…",2019-10-31 13:49:45,37,0
1189902278129405952,RT @shucoupzarchive: thanks for breathing tonight https://t.co/4x5G03oJRv,2019-10-31 13:49:45,9,0
1189902270583824384,"RT @moon_sunhae: We need destiny live ver it's honestly a requirement for me to keep breathing at this point 

#마마무_문자투표할_운명이었지",2019-10-31 13:49:43,15,0
1189902270248280065,"RT @sagadkopaba: I had the chance, the better opportunity, as many may think of, but i messed it up. I let it go. And now, i am struggling…",2019-10-31 13:49:43,1,0
1189902263826804737,RT @woodzsarang: Congrats X1 for making an entertainment company pressed by just breathing 👏 https://t.co/IqQnWl6gwJ,2019-10-31 13:49:41,33,0
