user_id,username,location,created,followers,following,tweets
173468478,raising_3,The Desert ,2010-08-01 15:13:43,1529,2582,13855
1040289829311967232,rhiisamess,"she/her, 15",2018-09-13 17:23:17,47,537,2976
1912916479,Yolomcswagzorz,,2013-09-28 02:34:40,0,1,862
819284654263894016,katmai_bear,coeur d'alene idaho,2017-01-11 20:47:37,610,883,13274
519953179,MillyDollar1,,2012-03-10 00:32:17,6,274,1597
884827821117501441,jyunhaozxing,,2017-07-11 17:32:46,40,505,11151
18084943,laserghouls,,2008-12-12 20:26:05,318,598,60090
3247118414,SharonMuratore,"Roma, Lazio",2015-06-16 20:11:08,553,638,13127
1053365274450120704,alizalizzetlugo,"Salinas, CA",2018-10-19 19:20:26,155,185,734
3426726646,AliensExist1997,,2015-08-16 20:43:03,251,971,1950
973634714438336513,bendrezff,,2018-03-13 18:59:39,198,203,1215
1511436858,AirwrekaX,,2013-06-12 19:48:44,220,256,1220
410493227,GuttaTy_,The $ip,2011-11-12 05:18:25,357,263,5813
455708730,White_espada,Lost at sea🌊,2012-01-05 12:25:37,2369,1325,258047
930357980,whosjanedoe,,2012-11-06 19:16:05,153,244,5374
3484571294,vmariasustin,,2015-09-07 18:37:30,320,1246,3327
738625970450497536,AnjaliManda,Hyderabad,2016-06-03 06:58:49,22,45,306
328647599,zaharaesque,www.thetalkingcompass.com,2011-07-03 19:29:38,3255,387,44593
172713855,castlelover206,"Perth, Western Australia",2010-07-30 12:05:38,518,1013,62984
860218354426105856,cheshirecsy,ateez ; stray kids ; x1 ,2017-05-04 19:43:32,30,120,2639
2530868122,hooru00,Wherest’ve,2014-05-05 11:46:25,150,250,23823
919440792086876160,magica_en,,2017-10-15 05:52:21,27,0,28162
1155269030,3_cwt,"Alabama, USA",2013-02-06 22:20:12,253,335,8318
179811206,IzzyTheSloth,MAKE OUT HILL,2010-08-18 04:36:41,968,564,56289
832895911122477056,HazimSyazwanZ,,2017-02-18 10:13:54,775,60,3992
877279362,jeyyyyyyy7,Leo's ,2012-10-13 07:43:53,514,414,15847
1179035963332399104,Jan67441632,"Greensboro, NC",2019-10-01 14:11:18,0,53,8
3206548523,swxnn,Guyane Française,2015-04-25 15:33:50,936,378,35119
861601468142370816,shownu_noona618,Thailand,2017-05-08 15:19:32,3,66,5756
1005783037307752448,kimdokimdo,,2018-06-10 12:05:37,103,246,6143
54628099,basilchic,"Scottsdale, AZ",2009-07-07 18:07:57,245,101,20125
4699282466,nrezzaidah,"Besut, Terengganu",2016-01-02 23:46:19,640,524,37201
1086470251196248064,ZepawFox,MN,2019-01-19 03:47:48,76,76,5492
998277649,suzumiaa,"Santiago, Chile",2012-12-09 00:23:07,7,94,462
2177999829,itsmebetween,,2013-11-12 10:02:19,113,127,36801
2853683453,jUWUanma,Hollywoo,2014-10-31 19:41:10,115,389,61216
888439491400216576,CraineAnne,,2017-07-21 16:44:16,144,525,5056
3160851192,binbinjara,,2015-04-17 10:40:12,457,394,73853
827910805437939712,TDP_Academy,Europe,2017-02-04 16:04:52,1214,75,9980
1160330280282021892,KingAstorStar,Darkness ,2019-08-10 23:21:11,271,256,10142
21063200,TaraDeliberto,NYC,2009-02-17 04:15:56,6977,3031,6024
986302731160883200,lisilks,Galactic Sector ZZ9 Plural Z Alpha,2018-04-17 17:57:50,64,98,1557
